user_id,first_name,last_name,user_type,home_country,preferred_city_type,target_university,field_of_study,degree_level,intended_start_year,budget_range_aud,scholarship_interest,concern_visa,concern_accommodation,concern_safety,concern_academics,concern_career,concern_culture,preferred_language,accommodation_type,work_while_studying_interest
25,Hamza,Chen,parent,Vietnam,urban,Monash University,Finance,Bachelor,2026,49510,0,0,1,1,0,1,0,English,shared,1
26,Sarvesh,Park,student,Japan,regional,Monash University,Business Analytics,Master,2026,49234,0,0,1,1,0,0,0,French,dorm,1
27,Diego,Dubois,student,Nigeria,urban,University of Melbourne,Artificial Intelligence,PhD,2027,27901,1,1,0,0,1,0,1,French,private,1
28,Kavya,Suzuki,student,Australia,urban,University of Melbourne,Psychology,Bachelor,2026,58207,0,0,0,1,0,0,1,Indonesian,shared,1
29,Hamza,Chaudhary,student,Brazil,urban,University of Melbourne,Business Analytics,Bachelor,2026,27694,0,0,1,0,0,0,1,Japnese,shared,1
30,Julien,Chaudhary,student,Vietnam,regional,University of Western Australia,Data Science,Bachelor,2027,56902,0,0,1,1,0,0,1,Mandarin,dorm,0
31,Omar,Nguyen,parent,Nigeria,regional,University of Western Australia,Artificial Intelligence,PhD,2026,22759,0,1,0,0,0,1,1,Mandarin,private,0
32,Omar,Park,student,China,urban,University of Western Australia,Finance,Bachelor,2026,41320,0,0,0,0,1,0,1,Indonesian,private,1
33,Kenji,Bakare,parent,Vietnam,urban,UNSW,Artificial Intelligence,Master,2027,45662,0,1,1,0,1,1,0,English,shared,0
34,Julien,Hernandez,parent,Nigeria,regional,University of Adelaide,Business Analytics,PhD,2027,42092,0,0,0,1,1,1,0,English,private,1
35,Sana,Rossi,student,Nigeria,urban,University of Sydney,Psychology,Master,2026,37691,1,0,0,1,0,1,1,Mandarin,private,1
36,Sofia,Mansoor,student,China,regional,University of Sydney,Computer Science,Master,2027,39831,1,1,1,0,1,1,1,Mandarin,private,0
37,Sofia,Gomez,parent,UAE,suburban,University of Western Australia,Mechanical Engineering,Bachelor,2026,38713,0,1,0,0,1,1,1,French,private,0
38,Zaid,Mansoor,parent,Australia,suburban,University of Sydney,Psychology,Master,2027,16194,0,1,0,0,0,1,0,English,dorm,0
39,Sana,Mansoor,student,Nigeria,regional,University of Queensland,Psychology,Master,2027,45265,0,0,1,1,1,0,1,Hindi,private,1
40,Sofia,Rossi,parent,China,urban,Monash University,Mechanical Engineering,Bachelor,2026,34312,1,0,1,1,1,1,1,Spanish,shared,1
41,Nina,Hossain,parent,Brazil,suburban,University of Adelaide,Mechanical Engineering,PhD,2026,57561,0,1,1,0,0,1,0,Hindi,shared,0
42,Clara,Wong,student,Brazil,urban,UNSW,Finance,PhD,2026,22636,1,0,0,1,1,0,0,Japnese,private,0
43,Mateo,Nguyen,student,China,urban,Australian National University,Psychology,Master,2027,54589,0,1,0,0,0,1,0,Japnese,private,0
44,Abrar,Rossi,student,India,urban,Monash University,Computer Science,Master,2027,43492,1,0,0,1,1,1,0,Hindi,dorm,0
45,Elena,Patil,parent,India,regional,UNSW,Mechanical Engineering,Master,2026,29817,0,0,0,1,1,1,0,Mandarin,shared,1
46,Amara,Nguyen,parent,UAE,urban,University of Sydney,Psychology,Master,2026,23529,0,0,1,1,0,1,0,Mandarin,dorm,0
47,Nina,Lefebvre,student,China,urban,University of Queensland,Psychology,Master,2027,41705,0,0,0,1,1,1,0,Indonesian,shared,0
48,Bilal,Iyer,student,India,urban,Monash University,Finance,Master,2027,59142,0,1,1,0,0,0,1,Mandarin,dorm,1
49,Fatima,Hossain,student,UAE,urban,University of Sydney,Mechanical Engineering,Master,2027,44521,1,0,0,1,0,1,0,Hindi,private,1
50,Fatima,Dubois,student,Nigeria,urban,Australian National University,Mechanical Engineering,PhD,2027,35171,1,1,1,1,1,1,1,Indonesian,dorm,1
51,Hiroshi,Sharma,student,Brazil,urban,University of Sydney,Artificial Intelligence,Master,2026,38634,1,1,0,1,0,0,0,Mandarin,shared,1
52,Mateo,Mansoor,parent,Nigeria,regional,University of Adelaide,Finance,Master,2027,50315,0,0,1,1,0,0,0,Indonesian,private,1
53,Omar,Lefebvre,parent,Japan,suburban,Australian National University,Psychology,Bachelor,2027,21621,1,1,1,1,1,0,1,English,dorm,0
54,Léa,Wei,parent,UAE,suburban,UNSW,Psychology,Bachelor,2027,26690,0,0,1,1,1,0,0,Hindi,dorm,0
55,Trang,Al-Farsi,student,Vietnam,suburban,Monash University,Computer Science,Master,2027,52797,1,1,0,1,1,0,1,Mandarin,private,1
56,Suresh,Patil,student,Indonesia,suburban,University of Sydney,Artificial Intelligence,Bachelor,2027,26136,0,1,0,0,0,0,0,Spanish,dorm,1
57,Bilal,Rahman,parent,Nigeria,suburban,University of Adelaide,Mechanical Engineering,Master,2027,39965,1,0,0,1,0,1,0,Spanish,shared,1
58,Zoya,Chen,parent,India,urban,University of Melbourne,Mechanical Engineering,Master,2027,59958,0,1,1,0,0,0,0,Mandarin,shared,0
59,Clara,Patil,parent,India,suburban,UNSW,Artificial Intelligence,Master,2026,17026,0,1,0,1,0,1,0,Hindi,dorm,1
60,Julien,Al-Farsi,student,Australia,urban,Australian National University,Psychology,PhD,2027,19916,0,0,0,0,1,1,1,French,dorm,1
61,Ananya,Iqbal,student,Indonesia,regional,University of Sydney,Finance,PhD,2026,37404,1,0,1,0,1,0,0,English,private,1
62,Omar,Iyer,student,Brazil,suburban,University of Western Australia,Finance,PhD,2027,16364,0,0,1,0,0,1,0,Indonesian,dorm,1
63,Zoya,Haddad,student,Japan,urban,Monash University,Computer Science,Bachelor,2027,35428,0,1,0,0,1,0,1,English,shared,1
64,Chloé,Hossain,student,Nigeria,regional,University of Western Australia,Finance,Master,2027,55560,0,1,0,1,0,1,0,Japnese,dorm,1
65,Elena,Haddad,parent,Indonesia,suburban,University of Queensland,Artificial Intelligence,Master,2026,25970,1,0,0,0,0,1,1,Hindi,shared,1
66,Ivan,Olsen,student,UAE,suburban,Australian National University,Artificial Intelligence,PhD,2027,46323,1,1,0,0,1,0,0,Indonesian,shared,0
67,Abrar,Müller,parent,Japan,urban,University of Adelaide,Artificial Intelligence,PhD,2026,42074,0,0,0,1,0,0,1,Mandarin,private,0
68,Rohan,Dubois,student,China,urban,UNSW,Mechanical Engineering,Master,2027,26506,1,0,1,0,1,0,1,Mandarin,dorm,0
69,Aisha,Kim,student,China,suburban,University of Queensland,Finance,Master,2026,28604,1,1,0,1,0,0,1,Spanish,dorm,1
70,Clara,Ahmed,student,Vietnam,regional,University of Melbourne,Finance,Master,2026,43181,1,1,1,1,1,0,0,Hindi,private,1
71,Ji-won,Sharma,student,Vietnam,regional,UNSW,Computer Science,Bachelor,2026,42316,0,1,0,0,1,1,0,Indonesian,dorm,1
72,Fatima,Patil,student,Brazil,urban,University of Adelaide,Data Science,PhD,2027,20948,0,1,0,0,0,0,1,Mandarin,dorm,1
73,Chloé,Iyer,student,UAE,regional,University of Melbourne,Computer Science,Bachelor,2027,21616,1,0,1,1,1,0,0,Spanish,dorm,1
74,Zoya,Ahmed,student,India,regional,University of Melbourne,Computer Science,Master,2026,26685,1,1,0,1,1,0,1,Hindi,private,0
75,Saanvi,Sato,student,UAE,suburban,Monash University,Psychology,Master,2027,38084,0,1,0,1,1,1,0,English,private,1
76,Léa,Iyer,parent,UAE,regional,University of Melbourne,Artificial Intelligence,Master,2027,55092,0,1,0,1,0,0,1,Mandarin,dorm,0
77,Arjun,Bakare,student,Indonesia,regional,UNSW,Data Science,PhD,2026,55578,0,1,1,0,0,0,1,Spanish,private,1
78,Trang,Sharma,student,India,regional,University of Sydney,Data Science,Master,2026,58741,0,0,0,0,1,1,0,Mandarin,private,0
79,Mei,Park,student,Australia,suburban,UNSW,Computer Science,Bachelor,2026,54844,1,1,1,0,1,1,0,French,shared,1
80,Kavya,Müller,parent,China,regional,Monash University,Psychology,Bachelor,2026,32415,0,1,1,1,0,1,0,Indonesian,dorm,0
81,Omar,Mansoor,parent,Japan,urban,Australian National University,Computer Science,Master,2027,56168,1,0,1,1,0,0,1,Spanish,shared,1
82,Kenji,Patil,student,China,urban,Australian National University,Artificial Intelligence,PhD,2026,24079,0,1,1,0,1,0,1,Indonesian,shared,0
83,Nina,Ahmed,parent,Japan,suburban,Australian National University,Data Science,Bachelor,2026,34569,0,0,0,0,0,0,0,Hindi,private,0
84,Sarvesh,Iqbal,student,Indonesia,regional,UNSW,Data Science,Master,2027,30355,0,0,1,1,1,1,0,French,private,1
85,Ji-won,Iqbal,student,China,urban,University of Sydney,Psychology,Master,2026,19726,0,1,1,1,0,0,1,Japnese,dorm,0
86,Mei,Patil,student,Nigeria,regional,University of Queensland,Business Analytics,Bachelor,2026,24208,0,0,1,1,0,0,0,Mandarin,shared,0
87,Mei,Olsen,student,Australia,suburban,University of Sydney,Data Science,PhD,2027,18212,1,1,1,1,1,1,1,Japnese,dorm,1
88,Tanvir,Ahmed,student,Australia,regional,University of Adelaide,Data Science,Bachelor,2027,38742,0,1,0,0,0,1,1,English,private,1
89,Ivan,Das,student,Australia,regional,University of Queensland,Business Analytics,PhD,2026,23471,1,1,0,0,1,1,1,Spanish,private,1
90,Elena,Tanaka,student,Japan,regional,University of Sydney,Artificial Intelligence,Master,2027,56653,0,1,0,1,0,0,1,Mandarin,dorm,0
91,Hans,Suzuki,student,UAE,regional,Australian National University,Mechanical Engineering,Bachelor,2026,49446,0,1,0,1,0,0,1,Hindi,shared,1
92,Zoya,Moreau,student,Indonesia,urban,Monash University,Finance,Master,2026,50099,0,1,1,0,0,1,0,Japnese,dorm,0
93,Nusrat,Patil,parent,Brazil,urban,University of Adelaide,Artificial Intelligence,Master,2026,45881,0,1,0,1,0,1,1,Japnese,dorm,1
94,Amara,Wong,parent,Brazil,suburban,UNSW,Data Science,Master,2026,26139,0,1,0,1,1,1,1,Japnese,private,0
95,Sofia,Bakare,student,Vietnam,urban,University of Western Australia,Mechanical Engineering,Bachelor,2026,18992,0,0,0,0,0,1,1,French,shared,1
96,Zoya,Al-Farsi,student,China,urban,Australian National University,Mechanical Engineering,PhD,2026,50379,1,0,0,1,0,1,0,French,dorm,0
97,Elena,Iqbal,student,UAE,urban,University of Sydney,Finance,Master,2026,47182,1,1,1,0,1,0,1,Indonesian,dorm,0
98,Abrar,Wei,parent,Japan,suburban,University of Queensland,Mechanical Engineering,PhD,2027,59348,0,1,1,0,0,0,0,Mandarin,dorm,1
99,Nina,Wei,student,Australia,urban,University of Melbourne,Artificial Intelligence,Master,2027,17606,0,1,1,1,0,0,1,Spanish,shared,1
100,Léa,Hossain,parent,UAE,urban,UNSW,Finance,Master,2027,58331,0,0,1,0,0,0,1,Hindi,dorm,1
101,Mateo,Dubois,parent,Nigeria,regional,University of Melbourne,Computer Science,Master,2026,34375,1,0,0,0,0,1,0,Hindi,private,1
102,Sarvesh,Iqbal,student,Indonesia,urban,Monash University,Business Analytics,PhD,2027,30464,1,0,0,1,1,0,0,Hindi,private,1
103,Ananya,Siddiqui,student,India,suburban,Australian National University,Finance,Bachelor,2026,43920,0,0,1,0,0,0,1,Indonesian,dorm,1
104,Suresh,Haddad,student,Nigeria,suburban,University of Queensland,Artificial Intelligence,Master,2026,50061,0,1,0,0,0,1,0,French,private,1
105,Léa,Bakare,parent,India,urban,University of Queensland,Finance,PhD,2027,54918,0,0,0,0,0,0,0,Mandarin,shared,0
106,Chloé,Wei,student,Nigeria,regional,University of Sydney,Mechanical Engineering,Bachelor,2027,17920,0,1,0,1,1,0,1,French,shared,0
107,Jueqing,Kim,student,Vietnam,suburban,University of Sydney,Data Science,Master,2026,55698,0,1,0,0,0,0,1,English,private,0
108,Mathis,Mansoor,student,Australia,urban,Monash University,Data Science,PhD,2027,18059,0,0,1,1,1,0,1,Spanish,dorm,0
109,Sumaiya,Chen,student,Indonesia,suburban,Australian National University,Finance,Master,2027,15928,1,0,0,1,1,0,1,English,private,0
110,Julien,Al-Farsi,parent,China,regional,University of Adelaide,Computer Science,PhD,2026,25263,0,0,0,1,0,1,1,Spanish,shared,0
111,Zane,Kumar,student,India,regional,UNSW,Computer Science,Master,2027,51693,0,0,1,0,1,1,1,French,private,0
112,Fatima,Iqbal,parent,Indonesia,suburban,Monash University,Data Science,Master,2026,57621,0,0,0,1,0,0,1,French,dorm,1
113,Jueqing,Iqbal,student,Nigeria,suburban,University of Western Australia,Mechanical Engineering,Bachelor,2027,58660,0,0,1,0,1,0,0,Mandarin,shared,1
114,Léa,Chatterjee,student,UAE,regional,University of Western Australia,Business Analytics,Master,2026,29526,1,1,1,1,1,0,1,French,shared,0
115,Ji-won,Siddiqui,parent,India,suburban,Australian National University,Psychology,PhD,2027,46426,0,1,0,1,0,0,0,Spanish,shared,1
116,Zane,Park,student,India,urban,UNSW,Data Science,Master,2026,27768,0,1,1,0,0,0,0,Japnese,dorm,0
117,Sumaiya,Smirnov,student,Brazil,urban,UNSW,Computer Science,Master,2026,59823,1,1,0,0,1,0,1,Japnese,shared,0
118,Sarvesh,Al-Farsi,parent,Australia,regional,Australian National University,Mechanical Engineering,PhD,2027,17230,0,1,0,0,1,1,0,French,private,0
119,Amara,Tanaka,student,Vietnam,regional,University of Western Australia,Finance,Bachelor,2027,23759,0,0,1,1,0,1,0,French,shared,1
120,Nina,Chaudhary,student,Japan,regional,University of Sydney,Mechanical Engineering,Master,2027,43127,0,0,0,0,1,1,1,French,shared,1
121,Lucas,Chaudhary,student,India,suburban,University of Adelaide,Artificial Intelligence,Bachelor,2027,18750,1,0,1,0,0,1,1,English,private,0
122,Zane,Smirnov,parent,Nigeria,regional,University of Adelaide,Psychology,PhD,2027,55071,1,0,1,0,0,0,1,French,shared,0
123,Zane,Kumar,student,India,urban,Monash University,Psychology,Master,2026,28173,1,1,0,1,0,1,0,Mandarin,private,0
124,Tanvir,Smirnov,student,UAE,regional,University of Western Australia,Computer Science,PhD,2026,59966,0,1,0,0,1,0,1,Hindi,private,0
125,Hans,Iqbal,student,Vietnam,regional,Monash University,Psychology,PhD,2027,15462,1,1,1,1,1,1,1,English,dorm,1
126,Suresh,Wei,parent,Nigeria,regional,University of Sydney,Computer Science,Bachelor,2027,34135,0,0,1,0,0,1,0,English,shared,1
127,Sana,Chaudhary,parent,India,suburban,University of Adelaide,Artificial Intelligence,Bachelor,2027,58310,0,1,1,0,1,0,0,Japnese,shared,1
128,Arjun,Iyer,student,India,regional,Australian National University,Mechanical Engineering,PhD,2027,51269,0,0,0,1,0,1,1,Japnese,shared,0
129,Trang,Iyer,student,Nigeria,suburban,University of Sydney,Psychology,Master,2026,59963,0,0,0,1,0,0,1,English,shared,1
130,Ji-won,Gomez,student,Nigeria,suburban,Monash University,Mechanical Engineering,Master,2026,56039,0,0,1,1,0,1,0,English,shared,1
131,Ji-won,Chaudhary,parent,Brazil,suburban,University of Melbourne,Artificial Intelligence,Bachelor,2026,28295,0,0,1,1,1,0,1,English,private,0
132,Diego,Moreau,student,Australia,regional,UNSW,Mechanical Engineering,PhD,2026,49877,0,1,1,1,0,1,0,Japnese,dorm,0
133,Zane,Moreau,student,Japan,regional,University of Queensland,Data Science,Bachelor,2026,20437,1,0,0,1,1,0,0,Indonesian,private,1
134,Priya,Park,student,UAE,suburban,University of Queensland,Data Science,Master,2027,26370,0,0,1,0,0,1,0,French,private,1
135,Hiroshi,Malik,student,Brazil,regional,University of Western Australia,Business Analytics,Bachelor,2026,57516,0,0,0,0,0,0,1,English,shared,1
136,Omar,Al-Farsi,student,China,urban,University of Western Australia,Psychology,Master,2026,20652,1,1,0,0,0,1,0,French,private,0
137,Amira,Hossain,parent,Japan,regional,UNSW,Artificial Intelligence,Master,2026,23412,0,1,1,0,0,1,0,Indonesian,private,1
138,Ishaan,Chaudhary,student,Vietnam,regional,University of Western Australia,Data Science,Master,2026,42553,0,0,1,0,0,1,1,Mandarin,shared,0
139,Clara,Sharma,parent,Vietnam,regional,UNSW,Finance,PhD,2026,24379,0,1,0,0,1,1,0,Spanish,private,0
140,Suresh,Chaudhary,parent,Brazil,urban,University of Melbourne,Data Science,PhD,2026,27607,0,0,0,0,0,0,1,Mandarin,shared,1
141,Léa,Malik,student,Nigeria,urban,University of Sydney,Data Science,Bachelor,2026,38184,1,1,0,0,0,1,1,English,shared,1
142,Rohan,Chaudhary,student,Indonesia,regional,University of Melbourne,Artificial Intelligence,Bachelor,2027,42004,1,0,1,1,1,1,1,Indonesian,shared,1
143,Zane,Dubois,student,Japan,urban,UNSW,Finance,PhD,2026,44639,0,0,1,1,0,1,0,Indonesian,dorm,1
144,Nina,Lefebvre,student,Vietnam,urban,Monash University,Mechanical Engineering,PhD,2027,45691,0,1,1,1,0,1,1,French,dorm,1
145,Mathis,Kumar,student,Indonesia,regional,University of Melbourne,Computer Science,Bachelor,2027,56283,1,0,1,1,0,1,0,Japnese,private,0
146,Chloé,Silva,student,Japan,urban,University of Melbourne,Finance,Bachelor,2026,23006,1,0,1,0,1,0,0,Indonesian,shared,0
147,Elena,Iqbal,student,Brazil,regional,University of Western Australia,Artificial Intelligence,Bachelor,2027,56598,0,0,0,1,1,1,1,Spanish,private,1
148,Clara,Iqbal,student,Japan,regional,Monash University,Mechanical Engineering,Bachelor,2027,29417,1,1,0,1,0,0,1,French,private,1
149,Mathis,Sharma,parent,Brazil,suburban,University of Sydney,Computer Science,Master,2026,57425,0,1,1,1,0,0,1,Indonesian,private,1
150,Abrar,Patil,student,UAE,urban,University of Western Australia,Computer Science,PhD,2027,22445,1,1,1,0,1,1,0,Hindi,private,0
151,Amira,Lefebvre,student,UAE,urban,Australian National University,Business Analytics,PhD,2027,16566,0,1,1,1,0,0,0,Spanish,dorm,1
152,Zaid,Das,student,Japan,regional,UNSW,Mechanical Engineering,Master,2027,47211,0,0,1,0,0,0,1,Mandarin,dorm,1
153,Bilal,Chen,student,Japan,suburban,University of Adelaide,Artificial Intelligence,Bachelor,2027,33285,0,1,0,0,1,0,1,Japnese,shared,1
154,Trang,Park,student,China,suburban,Australian National University,Computer Science,Master,2027,29828,1,1,1,0,1,1,1,Mandarin,shared,0
155,Ivan,Sato,parent,China,suburban,Monash University,Computer Science,Bachelor,2026,22958,0,0,1,1,0,1,0,Spanish,private,1
156,Hamza,Olsen,student,Vietnam,suburban,University of Western Australia,Finance,Bachelor,2026,28163,1,1,0,0,0,0,1,Japnese,dorm,0
157,Zane,Khan,student,Vietnam,regional,Australian National University,Mechanical Engineering,Bachelor,2026,54584,1,0,1,0,0,1,0,Spanish,private,1
158,Ivan,Sharma,parent,India,urban,University of Sydney,Finance,PhD,2026,19531,0,1,0,0,0,1,0,Spanish,dorm,0
159,Yuki,Patil,student,Brazil,urban,University of Sydney,Artificial Intelligence,PhD,2026,29050,0,0,1,0,0,0,0,Japnese,private,1
160,Amara,Mansoor,student,Japan,regional,Australian National University,Computer Science,Bachelor,2026,30260,1,1,1,1,1,1,1,French,shared,0
161,Bilal,Sato,student,China,suburban,UNSW,Psychology,Master,2026,42130,0,0,1,1,0,1,0,Hindi,dorm,0
162,Li,Al-Farsi,student,Indonesia,regional,University of Western Australia,Computer Science,Master,2027,36305,0,0,1,0,0,1,0,Hindi,dorm,0
163,Suresh,Khan,student,Brazil,urban,UNSW,Computer Science,Master,2027,22312,0,0,1,1,1,0,0,Japnese,shared,1
164,Amira,Lefebvre,student,UAE,urban,Monash University,Business Analytics,Bachelor,2027,32769,1,1,1,1,0,0,1,French,shared,0
165,Chloé,Khan,student,Australia,regional,University of Sydney,Computer Science,PhD,2026,30769,1,1,1,1,0,1,0,Indonesian,shared,1
166,Nina,Moreau,parent,Australia,urban,UNSW,Data Science,Master,2027,22184,1,1,0,0,1,0,0,Spanish,dorm,1
167,Zane,Suzuki,student,Japan,suburban,UNSW,Business Analytics,Bachelor,2027,46491,1,1,0,1,1,1,0,English,private,0
168,Hiroshi,Nguyen,parent,China,regional,University of Melbourne,Mechanical Engineering,Master,2026,28024,1,1,0,0,0,0,1,Indonesian,dorm,1
169,Aisha,Ahmed,parent,Japan,urban,University of Western Australia,Computer Science,PhD,2027,46214,1,1,1,0,1,1,0,Mandarin,private,0
170,Ji-won,Chatterjee,student,Australia,suburban,University of Melbourne,Data Science,Bachelor,2027,30215,0,0,0,0,1,0,0,Hindi,shared,0
171,Aisha,Kumar,parent,India,urban,Monash University,Mechanical Engineering,Master,2026,22038,0,0,1,1,0,1,0,Japnese,private,0
172,Diego,Iqbal,student,China,regional,University of Queensland,Business Analytics,Bachelor,2027,36268,1,1,0,0,0,0,1,Hindi,private,1
173,Elena,Nguyen,parent,China,urban,Monash University,Mechanical Engineering,Master,2027,26009,1,0,1,1,0,1,1,Japnese,private,0
174,Nusrat,Rossi,student,Vietnam,urban,University of Melbourne,Artificial Intelligence,PhD,2027,46269,1,0,1,0,0,0,1,Spanish,private,1
175,Tanvir,Iyer,student,India,regional,UNSW,Business Analytics,Bachelor,2026,32691,1,0,1,0,0,1,1,French,shared,0
176,Zoya,Chaudhary,student,Brazil,suburban,Australian National University,Business Analytics,Master,2026,38750,0,1,0,1,1,1,0,Hindi,dorm,0
177,Bilal,Gomez,student,Vietnam,regional,UNSW,Business Analytics,Bachelor,2027,20857,1,1,0,1,0,0,0,Spanish,private,0
178,Kavya,Chatterjee,student,Nigeria,regional,Australian National University,Finance,Bachelor,2026,28729,0,1,1,1,0,0,1,Indonesian,shared,1
179,Suresh,Haddad,student,India,urban,University of Queensland,Psychology,Bachelor,2027,35052,0,0,1,0,0,1,0,Hindi,shared,1
180,Lucas,Mansoor,parent,Australia,suburban,Monash University,Data Science,Master,2027,43517,1,1,0,0,0,1,1,Spanish,private,1
181,Hamza,Malik,student,Australia,urban,University of Melbourne,Artificial Intelligence,PhD,2027,27004,1,1,1,1,0,0,0,French,dorm,1
182,Jueqing,Iqbal,student,Brazil,regional,University of Sydney,Psychology,Master,2027,24910,0,0,1,1,0,1,0,Mandarin,dorm,0
183,Hans,Iqbal,student,Nigeria,regional,University of Queensland,Data Science,PhD,2026,58489,0,0,0,0,0,0,0,Japnese,dorm,1
184,Nusrat,Chen,student,China,urban,UNSW,Business Analytics,Bachelor,2027,47410,0,0,1,0,0,0,1,Mandarin,private,0
185,Elena,Chen,student,Japan,regional,UNSW,Finance,Bachelor,2027,18991,1,0,0,0,1,0,0,Japnese,private,0
186,Li,Chaudhary,parent,Brazil,urban,Australian National University,Finance,PhD,2027,58064,1,1,1,1,1,1,1,English,private,0
187,Rohan,Silva,student,Nigeria,regional,University of Sydney,Psychology,Bachelor,2027,50494,0,0,0,0,1,0,1,Japnese,private,1
188,Mei,Mansoor,parent,Australia,regional,Monash University,Finance,Master,2027,52915,1,0,0,1,0,1,1,Indonesian,dorm,0
189,Elena,Haddad,parent,India,suburban,University of Queensland,Computer Science,PhD,2026,27541,0,0,1,1,1,1,1,Indonesian,private,1
190,Amira,Smirnov,student,Nigeria,regional,University of Western Australia,Finance,Bachelor,2027,40748,1,1,0,0,1,0,1,Spanish,shared,1
191,Saanvi,Park,student,Nigeria,suburban,Monash University,Mechanical Engineering,Bachelor,2026,41693,1,1,0,0,1,0,0,Spanish,private,0
192,Diego,Iqbal,student,Nigeria,urban,University of Melbourne,Business Analytics,Bachelor,2027,55567,0,0,1,1,1,1,1,Hindi,private,0
193,Chloé,Haddad,student,UAE,urban,Monash University,Psychology,Bachelor,2027,24088,1,0,0,0,0,1,0,Hindi,shared,0
194,Hiroshi,Silva,parent,India,urban,University of Western Australia,Mechanical Engineering,Bachelor,2027,21714,1,1,0,1,0,1,1,Japnese,private,0
195,Amara,Dubois,student,Japan,suburban,University of Melbourne,Mechanical Engineering,Master,2026,31226,1,0,1,1,0,1,0,Hindi,shared,1
196,Li,Iqbal,parent,Indonesia,suburban,UNSW,Psychology,PhD,2026,50907,1,0,1,1,1,0,0,Indonesian,private,1
197,Julien,Hossain,student,Japan,urban,University of Melbourne,Data Science,Bachelor,2027,51703,0,0,0,0,1,1,1,Mandarin,private,0
198,Hiroshi,Rossi,parent,Vietnam,regional,University of Melbourne,Business Analytics,PhD,2026,36384,0,0,1,0,0,0,1,Indonesian,private,0
199,Zaid,Wong,student,UAE,regional,University of Adelaide,Computer Science,Master,2026,30269,1,0,0,0,1,1,0,Spanish,dorm,0
