mentor_id,first_name,last_name,mentor_type,university,field_of_study,degree_level,years_in_country,visa_experience,housing_experience,cultural_adaptation_experience,career_guidance_experience,languages_spoken,availability_hours_per_week,sessions_completed,response_time_hours,graduation_year,mentor_rating
126,Priya,Sato,student,University of Adelaide,Computer Science,PhD,2,1,1,0,1,English,15,156,23,NULL,4.1
127,Mei,Chen,student,UNSW,Psychology,Master,10,1,0,0,1,"English,Indonesian",15,171,11,NULL,3.6
128,Suresh,Silva,student,Australian National University,Data Science,Bachelor,14,1,1,0,0,"English,Indonesian",14,199,36,NULL,4.3
129,Hans,Rossi,student,University of Adelaide,Mechanical Engineering,PhD,12,0,0,0,1,"English,Mandarin",7,29,3,NULL,5.0
130,Chloé,Olsen,student,Monash University,Data Science,PhD,14,0,1,0,0,"English,Spanish",14,113,45,NULL,4.3
131,Trang,Chaudhary,student,University of Western Australia,Business Analytics,Bachelor,6,1,1,1,0,English,19,101,32,NULL,3.6
132,Hiroshi,Chatterjee,student,University of Western Australia,Business Analytics,Bachelor,6,0,1,1,1,"English,Mandarin",18,84,36,NULL,3.8
133,Diego,Iyer,student,University of Sydney,Computer Science,Master,8,1,0,1,0,"English,Mandarin",5,170,45,NULL,3.7
134,Mathis,Kumar,student,University of Sydney,Finance,Master,1,1,1,0,0,"English,Hindi",5,30,7,NULL,3.7
135,Elena,Sato,student,University of Western Australia,Business Analytics,Master,4,0,0,0,0,English,5,65,22,NULL,4.3
136,Ishaan,Siddiqui,student,University of Queensland,Artificial Intelligence,Bachelor,13,0,1,0,0,"English,Hindi",3,20,2,NULL,3.7
137,Jueqing,Lefebvre,student,University of Adelaide,Business Analytics,PhD,6,1,1,0,0,"English,Japnese",3,121,3,NULL,4.4
138,Sumaiya,Garcia,student,University of Queensland,Finance,Master,12,1,0,1,0,"English,Japnese",17,102,1,NULL,4.0
139,Aisha,Sharma,student,University of Western Australia,Data Science,PhD,6,0,0,1,1,"English,Japnese",19,61,16,NULL,3.6
140,Aisha,Haddad,student,University of Adelaide,Business Analytics,Master,14,0,1,1,0,"English,Indonesian",13,185,27,NULL,4.2
141,Mateo,Iyer,student,Monash University,Business Analytics,PhD,13,0,0,0,1,"English,Mandarin",17,173,34,NULL,4.0
142,Elena,Moreau,student,UNSW,Computer Science,Master,10,1,0,1,0,"English,Spanish",8,10,33,NULL,4.8
143,Tanvir,Chen,student,University of Western Australia,Finance,Master,13,0,0,1,0,"English,Indonesian",13,144,8,NULL,4.5
144,Mateo,Wong,student,University of Queensland,Psychology,Bachelor,15,0,0,1,0,"English,Hindi",4,185,7,NULL,4.6
145,Ivan,Garcia,student,UNSW,Finance,PhD,5,1,0,0,0,"English,Japnese",16,129,3,NULL,3.8
146,Nusrat,Silva,student,University of Western Australia,Artificial Intelligence,Master,11,0,0,0,1,"English,Hindi",8,1,32,NULL,3.7
147,Chloé,Nguyen,student,University of Sydney,Computer Science,Bachelor,4,1,1,1,1,"English,Indonesian",14,148,3,NULL,3.6
148,Trang,Kim,student,Australian National University,Mechanical Engineering,PhD,6,1,1,1,1,"English,Spanish",8,152,16,NULL,4.5
149,Hamza,Mansoor,student,University of Western Australia,Psychology,Master,14,1,0,1,1,English,15,117,13,NULL,4.8
150,Aisha,Rossi,student,University of Melbourne,Psychology,Bachelor,1,1,0,0,1,"English,Spanish",1,24,25,NULL,4.3
151,Sarvesh,Garcia,student,UNSW,Computer Science,Bachelor,13,1,0,1,0,"English,Indonesian",19,128,14,NULL,4.8
152,Arjun,Malik,student,University of Melbourne,Computer Science,PhD,4,0,0,0,1,"English,Hindi",20,66,11,NULL,3.9
153,Diego,Chaudhary,student,University of Queensland,Business Analytics,PhD,8,1,0,0,0,"English,Spanish",9,119,9,NULL,4.8
154,Zoya,Wei,student,University of Melbourne,Data Science,Master,5,0,1,0,1,"English,French",18,140,26,NULL,3.8
155,Suresh,Dubois,student,University of Queensland,Business Analytics,Bachelor,5,0,1,1,1,"English,French",8,179,45,NULL,4.0
156,Omar,Patil,student,Australian National University,Business Analytics,PhD,10,1,0,0,0,English,2,138,12,NULL,3.9
157,Priya,Sato,student,University of Melbourne,Psychology,Master,7,0,1,0,1,"English,Indonesian",11,187,6,NULL,4.0
158,Amara,Kumar,student,University of Melbourne,Mechanical Engineering,PhD,5,0,1,0,0,"English,Hindi",19,7,33,NULL,4.7
159,Kenji,Hossain,student,University of Melbourne,Business Analytics,Master,6,0,0,0,1,"English,Hindi",1,21,33,NULL,3.9
160,Sumaiya,Park,student,University of Sydney,Business Analytics,Master,15,1,1,1,0,English,14,177,33,NULL,3.5
161,Nina,Rossi,student,University of Sydney,Data Science,Bachelor,5,1,1,1,0,"English,Hindi",17,6,28,NULL,4.3
162,Aisha,Lefebvre,student,University of Western Australia,Business Analytics,Master,3,0,1,0,1,"English,Hindi",19,89,39,NULL,4.8
163,Zoya,Wong,student,University of Western Australia,Psychology,PhD,6,0,0,1,1,English,10,38,16,NULL,4.9
164,Saanvi,Smirnov,student,Australian National University,Mechanical Engineering,PhD,11,1,0,0,1,"English,Japnese",4,46,26,NULL,4.2
165,Saanvi,Rahman,student,Australian National University,Artificial Intelligence,PhD,15,0,0,1,0,"English,Japnese",20,9,32,NULL,4.8
166,Ivan,Lefebvre,student,University of Adelaide,Business Analytics,Bachelor,15,1,0,1,0,"English,Spanish",20,41,42,NULL,3.6
167,Mei,Iqbal,student,Australian National University,Psychology,Master,8,1,1,0,0,English,8,21,8,NULL,4.8
168,Rohan,Wong,student,University of Sydney,Artificial Intelligence,PhD,14,1,0,0,1,"English,French",12,189,21,NULL,4.9
169,Ji-won,Moreau,student,UNSW,Business Analytics,Master,10,0,0,1,0,"English,Hindi",6,110,22,NULL,4.7
170,Li,Garcia,student,University of Western Australia,Psychology,Master,3,1,1,0,1,"English,Mandarin",1,27,6,NULL,3.5
171,Abrar,Tanaka,student,University of Western Australia,Finance,PhD,3,1,0,1,1,"English,Hindi",19,195,46,NULL,3.8
172,Sofia,Patil,student,Monash University,Artificial Intelligence,Master,4,0,1,1,0,"English,French",14,45,16,NULL,4.7
173,Hiroshi,Moreau,student,University of Adelaide,Mechanical Engineering,Master,12,0,0,0,1,"English,Mandarin",9,121,23,NULL,4.3
174,Kavya,Bakare,student,University of Adelaide,Computer Science,PhD,10,0,1,0,0,English,4,11,12,NULL,4.6
175,Suresh,Kumar,student,Monash University,Mechanical Engineering,Master,5,0,0,0,0,"English,Japnese",7,46,28,NULL,3.5
176,Nina,Haddad,student,Australian National University,Computer Science,PhD,10,1,1,1,0,"English,Indonesian",19,97,42,NULL,4.7
177,Elena,Khan,student,UNSW,Business Analytics,Bachelor,4,0,0,1,0,English,15,97,16,NULL,3.6
178,Sarvesh,Chatterjee,student,University of Adelaide,Artificial Intelligence,Master,13,1,0,1,0,"English,Japnese",12,33,5,NULL,3.6
179,Zoya,Moreau,student,Australian National University,Business Analytics,PhD,13,0,0,0,0,"English,Hindi",18,116,44,NULL,3.5
180,Ishaan,Wei,student,UNSW,Psychology,Bachelor,12,1,0,1,1,"English,Mandarin",10,142,13,NULL,4.4
181,Abrar,Dubois,student,University of Queensland,Finance,Master,8,1,0,0,0,"English,Indonesian",9,137,15,NULL,4.1
182,Hans,Wei,student,Monash University,Data Science,PhD,4,1,0,0,0,"English,Indonesian",13,118,25,NULL,4.2
183,Ananya,Dubois,student,UNSW,Psychology,PhD,9,1,1,1,1,"English,Mandarin",10,6,39,NULL,4.0
184,Rohan,Garcia,student,Monash University,Artificial Intelligence,Bachelor,11,0,1,0,1,"English,Mandarin",14,183,35,NULL,4.6
185,Nina,Chatterjee,student,University of Melbourne,Data Science,Bachelor,10,1,0,1,1,"English,Mandarin",17,138,34,NULL,4.6
186,Ishaan,Wong,student,University of Queensland,Computer Science,PhD,12,1,0,0,1,"English,Japnese",12,167,10,NULL,4.0
187,Amira,Tanaka,student,University of Queensland,Data Science,Master,8,0,1,1,1,"English,Spanish",2,109,21,NULL,3.6
188,Zaid,Iyer,student,Monash University,Data Science,Bachelor,9,1,1,1,1,"English,French",20,125,42,NULL,3.7
189,Kavya,Moreau,student,University of Queensland,Finance,Master,13,0,1,1,1,English,2,53,42,NULL,3.9
190,Ananya,Iqbal,student,UNSW,Computer Science,Master,7,1,0,0,1,"English,Spanish",12,149,15,NULL,4.4
191,Zoya,Siddiqui,student,Monash University,Business Analytics,Bachelor,11,1,0,0,1,"English,Spanish",1,34,42,NULL,3.5
192,Hans,Tanaka,student,UNSW,Computer Science,PhD,8,1,1,1,0,"English,Spanish",16,88,48,NULL,4.5
193,Elena,Hossain,student,University of Adelaide,Finance,Master,9,1,1,1,0,"English,French",3,164,21,NULL,5.0
194,Ji-won,Chatterjee,student,University of Sydney,Computer Science,PhD,5,1,0,1,1,English,16,117,47,NULL,4.1
195,Ji-won,Patil,student,University of Queensland,Computer Science,Bachelor,5,0,0,0,0,"English,Mandarin",20,168,2,NULL,4.9
196,Saanvi,Ahmed,student,University of Western Australia,Psychology,Bachelor,6,1,0,1,1,"English,Japnese",4,134,40,NULL,4.2
197,Julien,Kim,student,University of Adelaide,Computer Science,Bachelor,10,0,1,1,0,"English,Spanish",13,34,10,NULL,4.9
198,Abrar,Iyer,student,University of Melbourne,Artificial Intelligence,Bachelor,7,0,0,0,0,"English,Indonesian",17,64,31,NULL,5.0
199,Lucas,Smirnov,student,University of Melbourne,Psychology,Bachelor,15,1,0,0,0,"English,French",17,165,33,NULL,4.9
200,Mathis,Chen,student,University of Western Australia,Mechanical Engineering,Bachelor,2,0,1,0,0,"English,Japnese",13,22,3,NULL,4.7
201,Sana,Dubois,student,University of Western Australia,Psychology,Bachelor,6,1,1,1,0,"English,French",4,135,7,NULL,3.6
202,Zane,Iyer,student,Monash University,Mechanical Engineering,Bachelor,3,1,0,0,0,"English,Indonesian",14,200,16,NULL,4.9
203,Saanvi,Moreau,student,University of Sydney,Artificial Intelligence,Master,1,0,1,0,0,"English,Hindi",7,197,1,NULL,4.5
204,Sofia,Moreau,student,UNSW,Business Analytics,Master,2,0,0,0,1,"English,Japnese",19,142,43,NULL,4.8
205,Hamza,Olsen,student,UNSW,Psychology,PhD,6,1,1,0,1,"English,Indonesian",13,44,19,NULL,4.9
206,Julien,Haddad,student,University of Queensland,Finance,PhD,14,0,1,0,1,"English,Mandarin",19,138,9,NULL,3.8
207,Amara,Sharma,student,University of Melbourne,Data Science,Bachelor,4,0,0,1,0,"English,French",20,57,23,NULL,3.8
208,Chloé,Wei,student,Monash University,Artificial Intelligence,Bachelor,6,0,1,1,0,"English,Hindi",12,162,15,NULL,4.3
209,Kavya,Malik,student,Monash University,Artificial Intelligence,PhD,13,1,1,0,1,"English,French",11,176,36,NULL,3.7
210,Amira,Malik,student,University of Adelaide,Psychology,Master,8,0,1,0,0,"English,Japnese",15,44,18,NULL,4.9
211,Zane,Chen,student,University of Melbourne,Psychology,PhD,13,1,0,0,1,"English,French",10,96,41,NULL,4.6
212,Rohan,Park,student,UNSW,Computer Science,PhD,12,0,0,0,0,"English,Spanish",14,4,11,NULL,4.8
213,Mei,Malik,student,University of Melbourne,Artificial Intelligence,PhD,6,1,0,1,0,"English,Spanish",17,184,12,NULL,4.0
214,Trang,Moreau,student,University of Queensland,Finance,Master,13,0,1,1,1,"English,Japnese",19,162,5,NULL,3.7
215,Mei,Kim,student,University of Western Australia,Finance,Master,2,0,0,1,0,"English,Japnese",8,162,15,NULL,3.6
216,Ji-won,Bakare,student,University of Queensland,Computer Science,PhD,13,0,1,0,1,"English,Spanish",13,110,27,NULL,3.6
217,Tanvir,Tanaka,student,University of Queensland,Business Analytics,Bachelor,13,1,1,0,1,"English,Indonesian",11,161,18,NULL,4.5
